"사용일자","노선번호","노선명","표준버스정류장ID","버스정류장ARS번호","역명","승차총승객수","하차총승객수","등록일자"
"20171115","100","100번(하계동~용산구청)","100000102","01198","원남동","163","187","20171118"
"20171115","100","100번(하계동~용산구청)","100000151","01247","광장시장","67","218","20171118"
"20171115","100","100번(하계동~용산구청)","101000063","02162","을지로4가","53","249","20171118"
"20171115","100","100번(하계동~용산구청)","101000061","02160","을지로3가","123","288","20171118"
"20171115","100","100번(하계동~용산구청)","101000059","02158","을지로2가.기업은행본점.서울노동청","257","258","20171118"
"20171115","100","100번(하계동~용산구청)","101000041","02140","롯데백화점","358","234","20171118"
"20171115","100","100번(하계동~용산구청)","101000032","02127","북창동.남대문시장","154","141","20171118"
"20171115","100","100번(하계동~용산구청)","101000008","02008","숭례문","96","160","20171118"
"20171115","100","100번(하계동~용산구청)","101000004","02004","서울역버스환승센터","257","150","20171118"
"20171115","100","100번(하계동~용산구청)","102000012","03012","갈월동","105","103","20171118"
"20171115","100","100번(하계동~용산구청)","102000010","03010","숙대입구역","247","146","20171118"
"20171115","100","100번(하계동~용산구청)","102000008","03008","삼각지역","146","73","20171118"
"20171115","100","100번(하계동~용산구청)","102000006","03006","KT용산지사","65","65","20171118"
"20171115","100","100번(하계동~용산구청)","102000004","03004","신용산역","356","147","20171118"
"20171115","100","100번(하계동~용산구청)","102000002","03002","한강대교북단.LG유플러스","345","112","20171118"
"20171115","100","100번(하계동~용산구청)","102000120","03214","이촌동동부센트레빌","22","181","20171118"
"20171115","100","100번(하계동~용산구청)","102000122","03216","이촌1동충신교회앞","76","282","20171118"
"20171115","100","100번(하계동~용산구청)","102000124","03218","이촌동한강맨션.이촌역","184","268","20171118"
"20171115","100","100번(하계동~용산구청)","102000126","03220","신용산초등학교","107","266","20171118"
"20171115","100","100번(하계동~용산구청)","102000128","03222","이촌동점보아파트","65","336","20171118"
"20171115","100","100번(하계동~용산구청)","102000130","03224","금강병원.반도아파트","81","230","20171118"
"20171115","100","100번(하계동~용산구청)","102000132","03226","서빙고신동아아파트","36","250","20171118"
"20171115","100","100번(하계동~용산구청)","102000063","03157","서빙고역1번출구","100","133","20171118"
"20171115","100","100번(하계동~용산구청)","101000102","02206","퇴계로6가","118","40","20171118"
"20171115","100","100번(하계동~용산구청)","101000069","02168","을지로5가.훈련원종합체육관","71","8","20171118"
"20171115","100","100번(하계동~용산구청)","101000068","02167","방산시장.훈련원종합체육관","48","19","20171118"
"20171115","100","100번(하계동~용산구청)","100000116","01212","종로5가","152","75","20171118"
"20171115","100","100번(하계동~용산구청)","100000109","01205","종로5가.효제초등학교","115","29","20171118"
"20171115","100","100번(하계동~용산구청)","100000108","01204","종로5가.효제동","39","35","20171118"
"20171115","100","100번(하계동~용산구청)","100000123","01219","통신대(이화장)","100","66","20171118"
"20171115","100","100번(하계동~용산구청)","100000124","01220","혜화역.마로니에공원","226","61","20171118"
"20171115","100","100번(하계동~용산구청)","100000133","01229","혜화역.동성중고(장면총리가옥)","261","48","20171118"
"20171115","100","100번(하계동~용산구청)","107000010","08010","삼선교.한성대학교","414","152","20171118"
"20171115","100","100번(하계동~용산구청)","107000008","08008","돈암사거리.성신여대입구","649","180","20171118"
"20171115","100","100번(하계동~용산구청)","107000006","08006","미아리고개.미아리예술극장","242","120","20171118"
"20171115","100","100번(하계동~용산구청)","107000004","08004","길음뉴타운","494","154","20171118"
"20171115","100","100번(하계동~용산구청)","107000002","08002","월곡뉴타운","360","110","20171118"
"20171115","100","100번(하계동~용산구청)","107000011","08101","숭곡초교입구","166","263","20171118"
"20171115","100","100번(하계동~용산구청)","107000012","08102","창문여고","306","332","20171118"
"20171115","100","100번(하계동~용산구청)","107000013","08103","동방주유소앞","57","93","20171118"
"20171115","100","100번(하계동~용산구청)","107000014","08104","장위동그린빌아파트","36","109","20171118"
"20171115","100","100번(하계동~용산구청)","107000015","08105","북서울꿈의숲","146","249","20171118"
"20171115","100","100번(하계동~용산구청)","107000016","08106","장월초등학교","250","309","20171118"
"20171115","100","100번(하계동~용산구청)","110000236","11337","롯데캐슬루나아파트","164","236","20171118"
"20171115","100","100번(하계동~용산구청)","110000237","11338","인덕대앞","367","366","20171118"
"20171115","100","100번(하계동~용산구청)","110000239","11340","월계헬스케어센터","149","231","20171118"
"20171115","100","100번(하계동~용산구청)","110000352","11453","하계시영아파트","46","480","20171118"
"20171115","100","100번(하계동~용산구청)","110000354","11455","하계장미아파트","52","574","20171118"
"20171115","100","100번(하계동~용산구청)","110000324","11425","하계미성아파트.을지병원","306","383","20171118"
"20171115","100","100번(하계동~용산구청)","110000328","11429","한성여객종점","13","102","20171118"
"20171115","100","100번(하계동~용산구청)","110000695","11433","대진고등학교","11","223","20171118"
"20171115","100","100번(하계동~용산구청)","110000334","11435","세이브존스포츠센터","36","341","20171118"
"20171115","100","100번(하계동~용산구청)","110000336","11437","노원경찰서.혜성여고","66","302","20171118"
"20171115","100","100번(하계동~용산구청)","110000341","11442","하계현대아파트","18","161","20171118"
"20171115","100","100번(하계동~용산구청)","110000257","11358","노원구민체육센터","31","106","20171118"
"20171115","100","100번(하계동~용산구청)","110000276","11377","상명초등학교","26","62","20171118"
"20171115","100","100번(하계동~용산구청)","110000274","11375","중계건영2차아파트","3","123","20171118"
"20171115","100","100번(하계동~용산구청)","110000327","11428","한성여객종점","24","4","20171118"
"20171115","100","100번(하계동~용산구청)","110000286","11387","노원평생학습관","17","3","20171118"
"20171115","100","100번(하계동~용산구청)","110000273","11374","서울시립북서울미술관","43","2","20171118"
"20171115","100","100번(하계동~용산구청)","110000272","11373","중계역","58","6","20171118"
"20171115","100","100번(하계동~용산구청)","110000275","11376","중계역2번출구","231","21","20171118"
"20171115","100","100번(하계동~용산구청)","110000277","11378","중계3단지목련아파트","153","45","20171118"
"20171115","100","100번(하계동~용산구청)","110000279","11380","중계시영3단지상가","277","62","20171118"
"20171115","100","100번(하계동~용산구청)","110000280","11381","중계시영4단지","252","33","20171118"
"20171115","100","100번(하계동~용산구청)","110000337","11438","노원경찰서","375","60","20171118"
"20171115","100","100번(하계동~용산구청)","110000335","11436","하계1동주민센터","244","34","20171118"
"20171115","100","100번(하계동~용산구청)","110000333","11434","골마을근린공원","296","82","20171118"
"20171115","100","100번(하계동~용산구청)","110000325","11426","하계역","652","255","20171118"
"20171115","100","100번(하계동~용산구청)","110000353","11454","하계우성아파트","671","85","20171118"
"20171115","100","100번(하계동~용산구청)","110000351","11452","하계극동아파트","285","73","20171118"
"20171115","100","100번(하계동~용산구청)","110000238","11339","월계헬스케어센터","217","116","20171118"
"20171115","100","100번(하계동~용산구청)","110000211","11311","인덕대학","359","274","20171118"
"20171115","100","100번(하계동~용산구청)","110000210","11310","월계주공108동앞롯데캐슬루나아파트","310","211","20171118"
"20171115","100","100번(하계동~용산구청)","108000098","09186","오현초등학교","396","221","20171118"
