사용일자	노선번호	노선명	표준버스정류장ID	버스정류장ARS번호	역명	승차총승객수	하차총승객수	등록일자
20171115	1711	1711번(국민대~공덕동)	107000021	8111	청덕초등학교	3	106	20171118
20171115	1711	1711번(국민대~공덕동)	990072964	~	도원교통차고지(가상)	1	199	20171118
20171115	1711	1711번(국민대~공덕동)	100000006	1101	경기상고	275	104	20171118
20171115	1711	1711번(국민대~공덕동)	100000007	1102	신교동	467	222	20171118
20171115	1711	1711번(국민대~공덕동)	100000015	1110	통인시장종로구보건소	259	378	20171118
20171115	1711	1711번(국민대~공덕동)	100000020	1115	경복궁역	411	1437	20171118
20171115	1711	1711번(국민대~공덕동)	100000031	1126	세종문화회관	498	1233	20171118
20171115	1711	1711번(국민대~공덕동)	101000290	2286	시청앞.덕수궁	189	1020	20171118
20171115	1711	1711번(국민대~공덕동)	101000034	2131	삼성본관앞	223	328	20171118
20171115	1711	1711번(국민대~공덕동)	101000003	2003	서울역버스환승센터	197	927	20171118
20171115	1711	1711번(국민대~공덕동)	102000012	3012	갈월동	269	451	20171118
20171115	1711	1711번(국민대~공덕동)	102000233	3327	갈월동4호선숙대입구	81	280	20171118
20171115	1711	1711번(국민대~공덕동)	102000018	3110	남영역	689	315	20171118
20171115	1711	1711번(국민대~공덕동)	102000045	3139	용산경찰서	143	183	20171118
20171115	1711	1711번(국민대~공덕동)	102000047	3141	원효로우체국	97	179	20171118
20171115	1711	1711번(국민대~공덕동)	102000050	3144	원효로2가	108	187	20171118
20171115	1711	1711번(국민대~공덕동)	102000154	3248	용문시장	143	235	20171118
20171115	1711	1711번(국민대~공덕동)	102000151	3245	중앙하이츠빌라앞	82	216	20171118
20171115	1711	1711번(국민대~공덕동)	102000149	3243	도원삼성래미안아파트	154	369	20171118
20171115	1711	1711번(국민대~공덕동)	113000064	14155	도화동현대아파트	71	256	20171118
20171115	1711	1711번(국민대~공덕동)	113000471	14134	공덕역10번출구	10	280	20171118
20171115	1711	1711번(국민대~공덕동)	113000061	14152	서울대동창회관	104	204	20171118
20171115	1711	1711번(국민대~공덕동)	113000062	14153	공덕역	359	170	20171118
20171115	1711	1711번(국민대~공덕동)	113000470	14135	공덕역10번출구	360	25	20171118
20171115	1711	1711번(국민대~공덕동)	113000063	14154	도화동현대아파트	215	156	20171118
20171115	1711	1711번(국민대~공덕동)	102000150	3244	도원삼성래미안아파트	389	112	20171118
20171115	1711	1711번(국민대~공덕동)	102000152	3246	중앙하이츠빌라앞	147	137	20171118
20171115	1711	1711번(국민대~공덕동)	102000153	3247	용문시장	187	110	20171118
20171115	1711	1711번(국민대~공덕동)	102000049	3143	남정초등학교	186	92	20171118
20171115	1711	1711번(국민대~공덕동)	102000048	3142	용산e편한세상	97	77	20171118
20171115	1711	1711번(국민대~공덕동)	998003073	~	도원교통차고지(가상)	300	2	20171118
20171115	1711	1711번(국민대~공덕동)	107000022	8112	청덕초교	564	4	20171118
20171115	1711	1711번(국민대~공덕동)	107000020	8110	국민대학교앞	1063	24	20171118
20171115	1711	1711번(국민대~공덕동)	100000064	1159	롯데아파트	474	26	20171118
20171115	1711	1711번(국민대~공덕동)	100000063	1158	일성아파트	254	13	20171118
20171115	1711	1711번(국민대~공덕동)	100000062	1157	평창동주민센터	631	47	20171118
20171115	1711	1711번(국민대~공덕동)	100000061	1156	평창파출소	759	56	20171118
20171115	1711	1711번(국민대~공덕동)	100000060	1155	갑을씨티텔앞	153	53	20171118
20171115	1711	1711번(국민대~공덕동)	100000038	1133	세검정초등학교	445	90	20171118
20171115	1711	1711번(국민대~공덕동)	100000189	1287	상명대입구	417	103	20171118
20171115	1711	1711번(국민대~공덕동)	100000041	1136	하림각	239	49	20171118
20171115	1711	1711번(국민대~공덕동)	100000042	1137	자하문터널입구.석파정	223	70	20171118
20171115	1711	1711번(국민대~공덕동)	102000297	3346	원효로1동.주민센터	169	88	20171118
20171115	1711	1711번(국민대~공덕동)	102000046	3140	용산경찰서	179	92	20171118
20171115	1711	1711번(국민대~공덕동)	102000019	3111	남영역	483	389	20171118
20171115	1711	1711번(국민대~공덕동)	102000009	3009	숙대입구역	916	296	20171118
20171115	1711	1711번(국민대~공덕동)	102000011	3011	갈월동	293	149	20171118
20171115	1711	1711번(국민대~공덕동)	101000007	2007	서울역버스환승센터	737	242	20171118
20171115	1711	1711번(국민대~공덕동)	101000033	2128	시청앞	581	269	20171118
20171115	1711	1711번(국민대~공덕동)	101000039	2137	서울신문사	522	335	20171118
20171115	1711	1711번(국민대~공덕동)	100000023	1118	KT광화문지사	952	432	20171118
20171115	1711	1711번(국민대~공덕동)	100000021	1116	경복궁역	1345	535	20171118
20171115	1711	1711번(국민대~공덕동)	100000016	1111	통인시장종로구보건소	154	325	20171118
20171115	1711	1711번(국민대~공덕동)	100000017	1112	효자동	175	302	20171118
20171115	1711	1711번(국민대~공덕동)	100000008	1103	경기상고	84	309	20171118
20171115	1711	1711번(국민대~공덕동)	100000045	1140	자하문터널입구.석파정	49	249	20171118
20171115	1711	1711번(국민대~공덕동)	100000046	1141	하림각	88	196	20171118
20171115	1711	1711번(국민대~공덕동)	100000047	1142	상명대입구.세검정교회	38	342	20171118
20171115	1711	1711번(국민대~공덕동)	100000049	1144	세검정초등학교	133	513	20171118
20171115	1711	1711번(국민대~공덕동)	100000069	1164	화정박물관	22	418	20171118
20171115	1711	1711번(국민대~공덕동)	100000068	1163	서울예술고등학교.평창동주민센터	48	489	20171118
20171115	1711	1711번(국민대~공덕동)	100000067	1162	예능교회	26	182	20171118
20171115	1711	1711번(국민대~공덕동)	100000066	1161	벽산평창힐스아파트	15	204	20171118
20171115	1711	1711번(국민대~공덕동)	100000065	1160	롯데아파트	13	240	20171118
20171115	1711	1711번(국민대~공덕동)	100000355	1293	평창동삼성아파트	4	208	20171118
20171115	1711	1711번(국민대~공덕동)	107000017	8107	국민대앞	46	968	20171118
20171114	1711	1711번(국민대~공덕동)	100000038	1133	세검정초등학교	410	69	20171117
20171114	1711	1711번(국민대~공덕동)	100000189	1287	상명대입구	451	85	20171117
20171114	1711	1711번(국민대~공덕동)	100000041	1136	하림각	252	42	20171117
20171114	1711	1711번(국민대~공덕동)	100000042	1137	자하문터널입구.석파정	237	43	20171117
20171114	1711	1711번(국민대~공덕동)	100000006	1101	경기상고	274	82	20171117
